Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"9254 David Mission North Kenneth, DC 57782","9254 David Mission North Kenneth, DC 57782",Tampa,1,9254 David Mission,North Kenneth,DC,57782,SFR,0,1,1.26,1105,,1,,1,,1972,3035,2220,,1,1,,Split,0,1,41.235428,-112.151724,Ways,5.77
"7374 Jones Green Apt. 848 Curtisborough, FL 10912","7374 Jones Green Apt. 848 Curtisborough, FL 10912",Dallas,0,7374 Jones Green Apt. 848,Curtisborough,FL,10912,Townhouse,0,1,2.54,170,0,0,1,0,1,2024,2875,9140,,5,1,0,Ranch,,2,41.410232,-80.19982,Park,5.95
"60076 Edwards Crossroad West Matthew, WY 64706","60076 Edwards Crossroad West Matthew, WY 64706",Florida,1,60076 Edwards Crossroad,West Matthew,WY,64706,Duplex,1,0,1.51,1025,,1,,0,0,2023,2584,6061,Garage,2,2,0,Colonial,,2,40.552417,-75.195436,Springs,9.77
"4443 Daniel Springs Apt. 443 Lake Robertbury, NJ 61529","4443 Daniel Springs Apt. 443 Lake Robertbury, NJ 61529",Atlanta,1,4443 Daniel Springs Apt. 443,Lake Robertbury,NJ,61529,Townhouse,,0,1.26,1646,,,1,1,0,2010,731,2624,Garage,4,2,1,Split,1,1,34.15615,-91.672636,Lodge,7.35
"030 Mcgee Corners New Hollytown, OH 85756","030 Mcgee Corners New Hollytown, OH 85756",Florida,0,030 Mcgee Corners,New Hollytown,OH,85756,SFR,,,2.73,1661,1,,1,1,,2013,3138,2243,Driveway,6,1,0,Split,0,2,39.991233,-113.101075,Pike,5.65
"2690 Holland Wells Brianahaven, MI 49220","2690 Holland Wells Brianahaven, MI 49220",Florida,,2690 Holland Wells,Brianahaven,MI,49220,Single Family Home,0,,3.37,623,,1,0,,0,1952,2943,2431,Street,6,3,1,Split,0,4,41.994773,-97.654002,Port,4.52
"3444 Cisneros Pass Apt. 192 South Angel, VA 82011","3444 Cisneros Pass Apt. 192 South Angel, VA 82011", ,,3444 Cisneros Pass Apt. 192,South Angel,VA,82011,SFR,,1,2.31,1857,,,0,0,,1981,3328,3607,Garage,1,4,0,Split,,1,35.497899,-112.472602,Well,3.05
"2053 Leslie Highway Suite 355 East Theresaview, SD 88959","2053 Leslie Highway Suite 355 East Theresaview, SD 88959",Florida,,2053 Leslie Highway Suite 355,East Theresaview,SD,88959,Townhouse,0,,1.8,1732,1,,,,0,1974,2005,3388,Garage,3,2,,,,4,35.549722,-85.410264,Mill,9.8
"078 Nina Courts Port Edwardfurt, MP 41452","078 Nina Courts Port Edwardfurt, MP 41452",Dalas,,078 Nina Courts,Port Edwardfurt,MP,41452,Duplex,0,,2.52,1113,,0,,,0,2022,2133,6166,Street,3,2,0,Split,0,5,37.683514,-92.281705,Isle,8.78
"443 Meyers Inlet Burtonburgh, WA 05412","443 Meyers Inlet Burtonburgh, WA 05412",Dalas,,443 Meyers Inlet,Burtonburgh,WA,5412,Townhouse,1,,2.13,1847,1,0,0,1,,2017,3192,4167,Street,1,3,1,Split,,5,40.511629,-111.537216,Corner,9.95
"946 Frances Forge Alyssaport, NM 53846","946 Frances Forge Alyssaport, NM 53846",Atlanta,1,946 Frances Forge,Alyssaport,NM,53846,SFR,0,,3.05,1474,0,0,0,1,,1998,1840,5014,Driveway,4,4,,Colonial,1,1,36.270593,-74.155946,Bridge,7.58
"75389 Jones Mountains Suite 737 Dakotaside, AK 45838","75389 Jones Mountains Suite 737 Dakotaside, AK 45838",Chicgo,1,75389 Jones Mountains Suite 737,Dakotaside,AK,45838,Condo,0,,3.0,247,0,1,,0,,1992,1421,7995,Garage,3,3,,Colonial,0,1,39.272376,-99.041948,Brooks,5.01
"504 Blake Center Zacharyfort, ID 15564","504 Blake Center Zacharyfort, ID 15564",Chicago,,504 Blake Center,Zacharyfort,ID,15564,Townhouse,1,1,1.59,338,1,,0,1,1,2019,2889,4168,Driveway,2,3,1,Split,,4,35.416347,-109.815863,Forges,9.92
"27324 King Lakes Lake Kristaport, PW 63629","27324 King Lakes Lake Kristaport, PW 63629",Atlanta,,27324 King Lakes,Lake Kristaport,PW,63629,Condo,0,,1.45,553,1,1,,1,,1976,870,4871,Garage,6,1,0,Colonial,,2,35.566203,-89.4974,Lodge,8.91
"205 Heather Locks New Tylerchester, ME 67117","205 Heather Locks New Tylerchester, ME 67117",Chicago,0,205 Heather Locks,New Tylerchester,ME,67117,Townhouse,1,0,1.33,1934,1,,,,0,2001,1169,8389,,3,3,0,,1,1,38.409561,-75.27478,Shores,9.95
"1994 Martinez Lights Suite 797 West Katherinefort, PA 52298","1994 Martinez Lights Suite 797 West Katherinefort, PA 52298",Chicgo,0,1994 Martinez Lights Suite 797,West Katherinefort,PA,52298,Townhouse,0,,2.74,1395,1,0,0,1,,1978,2869,1839,Garage,5,1,1,Split,1,1,38.324014,-114.614632,Mountain,9.81
"6389 Antonio Passage Port Elizabeth, NJ 55190","6389 Antonio Passage Port Elizabeth, NJ 55190",Chicgo,0,6389 Antonio Passage,Port Elizabeth,NJ,55190,Single Family Home,0,,3.44,411,1,0,0,,,1982,899,6166,Street,1,4,,Colonial,,4,33.918497,-78.412817,Track,5.64
"437 Nunez Locks West Devinville, IN 97553","437 Nunez Locks West Devinville, IN 97553",Atlanta,1,437 Nunez Locks,West Devinville,IN,97553,Condo,,0,1.35,1118,,1,,1,0,2013,1180,9607,Street,6,1,1,Ranch,1,3,36.485086,-114.561523,Bridge,4.87
"25250 Walsh Mission Apt. 090 Rossburgh, WI 75590","25250 Walsh Mission Apt. 090 Rossburgh, WI 75590",Florida,,25250 Walsh Mission Apt. 090,Rossburgh,WI,75590,Townhouse,,0,1.7,46,1,,1,,0,1989,2666,7902,,1,1,,Ranch,,4,40.271899,-81.686731,Union,9.77
"15142 Proctor Green Jenniferview, OR 24677","15142 Proctor Green Jenniferview, OR 24677", ,0,15142 Proctor Green,Jenniferview,OR,24677,Townhouse,0,,3.11,1896,,,,,1,2000,2000,3438,Driveway,6,3,1,Colonial,1,4,40.542535,-79.652937,Cliff,5.31
"117 Hanson Dam Apt. 128 Clarkfurt, SD 17613","117 Hanson Dam Apt. 128 Clarkfurt, SD 17613",Florida,0,117 Hanson Dam Apt. 128,Clarkfurt,SD,17613,SFR,1,0,2.9,70,0,0,,0,0,2016,623,8904,Garage,2,1,0,Ranch,0,5,38.936347,-98.674801,Flats,5.55
"07256 Blackburn Courts Suite 069 Lake Shawn, NM 96825","07256 Blackburn Courts Suite 069 Lake Shawn, NM 96825",Chicago,1,07256 Blackburn Courts Suite 069,Lake Shawn,NM,96825,Townhouse,,,1.91,762,1,,,1,1,2006,2323,2062,Garage,2,4,,,1,1,34.556788,-85.486573,Key,7.97
"30029 Tyler Green Lake Jesustown, UT 14607","30029 Tyler Green Lake Jesustown, UT 14607",Dallas,0,30029 Tyler Green,Lake Jesustown,UT,14607,Duplex,,,3.38,157,,0,,1,0,1972,712,9469,Street,1,2,1,,,4,40.476374,-109.048007,Land,5.26
"57938 Briana Lakes Lisastad, AL 62829","57938 Briana Lakes Lisastad, AL 62829",Tampa,0,57938 Briana Lakes,Lisastad,AL,62829,Condo,0,0,1.76,694,1,1,,1,1,1989,1265,7607,Street,2,4,,Colonial,,1,34.817759,-90.286728,Street,7.13
"866 Matthews Junction West Elizabeth, NC 43429","866 Matthews Junction West Elizabeth, NC 43429",Chicago,0,866 Matthews Junction,West Elizabeth,NC,43429,Condo,,1,1.72,647,0,,1,,0,1993,3167,8728,Street,5,4,,Ranch,0,4,36.579209,-95.458829,Rue,4.08
"62330 Johns Streets North Nicholas, OR 49294","62330 Johns Streets North Nicholas, OR 49294",Dalas,0,62330 Johns Streets,North Nicholas,OR,49294,Condo,1,0,2.22,1696,,1,0,1,0,1994,2248,7592,Driveway,2,4,1,,1,5,39.755265,-117.017856,Ford,6.34
"45663 Andrew Parkway Suite 848 Kellerfurt, WV 21337","45663 Andrew Parkway Suite 848 Kellerfurt, WV 21337",Chicago,,45663 Andrew Parkway Suite 848,Kellerfurt,WV,21337,Condo,,,3.11,1981,0,0,1,1,,2008,3062,8280,Driveway,5,4,,,,3,40.314956,-117.455288,Harbor,3.02
"811 Anne Rest Apt. 894 Lake Jennifertown, VI 23145","811 Anne Rest Apt. 894 Lake Jennifertown, VI 23145",Chicgo,1,811 Anne Rest Apt. 894,Lake Jennifertown,VI,23145,Duplex,1,,1.36,321,1,0,0,,1,1995,2733,4835,,2,3,1,Split,,2,39.442956,-88.323082,Crossing,3.55
"544 Wendy Meadows Nicholasmouth, IL 62514","544 Wendy Meadows Nicholasmouth, IL 62514",Dalas,1,544 Wendy Meadows,Nicholasmouth,IL,62514,Duplex,1,0,1.05,1984,,1,,,,2003,3061,4780,,2,2,,Split,,2,37.379869,-89.234566,Keys,8.12
"6118 Schwartz Alley Apt. 735 Lake Ryan, NC 23509","6118 Schwartz Alley Apt. 735 Lake Ryan, NC 23509",Dalas,,6118 Schwartz Alley Apt. 735,Lake Ryan,NC,23509,Single Family Home,,,2.15,275,0,1,,,,2018,1327,8347,Garage,1,4,1,Split,0,5,36.836513,-87.827577,Knoll,7.33
"3207 Christopher Trafficway Apt. 032 Catherinechester, GA 92495","3207 Christopher Trafficway Apt. 032 Catherinechester, GA 92495",Dallas,,3207 Christopher Trafficway Apt. 032,Catherinechester,GA,92495,Townhouse,,,2.83,447,1,0,,1,0,1988,1600,4055,Street,4,4,,Split,,4,39.486594,-110.144165,Highway,4.64
"3853 James Isle Port Kellyburgh, WV 97881","3853 James Isle Port Kellyburgh, WV 97881",Dallas,1,3853 James Isle,Port Kellyburgh,WV,97881,Condo,,,3.42,471,,,0,0,,2017,3075,6226,,3,2,0,,1,4,41.458378,-75.524008,Street,8.02
"7095 Amy Valley Port Deannaburgh, LA 14445","7095 Amy Valley Port Deannaburgh, LA 14445",Atlanta,0,7095 Amy Valley,Port Deannaburgh,LA,14445,SFR,0,,3.14,472,1,0,,1,1,2021,3113,5140,,1,1,,Colonial,0,2,33.356218,-73.879747,Mission,7.61
"54784 Mora Orchard Stewartview, PA 56086","54784 Mora Orchard Stewartview, PA 56086",Dalas,,54784 Mora Orchard,Stewartview,PA,56086,Condo,0,1,1.3,1029,,1,0,0,0,1954,1823,7603,Garage,2,4,0,Ranch,0,2,38.244063,-96.335838,Fort,9.71
"16360 Mary River New Angela, WA 79368","16360 Mary River New Angela, WA 79368", ,1,16360 Mary River,New Angela,WA,79368,Duplex,,0,3.18,582,1,1,,,1,2014,3283,2276,Street,4,1,,Ranch,1,1,35.802949,-79.756587,Mills,6.71
"40246 Nguyen Walks Brockstad, MO 75048","40246 Nguyen Walks Brockstad, MO 75048", ,0,40246 Nguyen Walks,Brockstad,MO,75048,Townhouse,,1,3.17,1546,1,,1,1,0,1984,1608,5382,Garage,1,3,1,,0,4,38.435653,-116.591726,Path,8.55
"78950 Rebecca Haven New Alexander, UT 09790","78950 Rebecca Haven New Alexander, UT 09790",Tampa,1,78950 Rebecca Haven,New Alexander,UT,9790,Townhouse,1,0,2.53,1567,1,1,1,,,2008,3218,4362,Driveway,4,2,1,Colonial,0,4,35.362889,-102.126314,Village,6.46
"13694 Matthew Center Berrychester, MO 99935","13694 Matthew Center Berrychester, MO 99935", ,,13694 Matthew Center,Berrychester,MO,99935,Condo,1,0,1.37,1119,,1,1,,,2012,2895,6996,Garage,3,3,0,Colonial,1,3,37.973618,-84.819661,Rapid,5.91
"84543 Santiago Manor Suite 610 Lake Wendyborough, NJ 42714","84543 Santiago Manor Suite 610 Lake Wendyborough, NJ 42714",Atlanta,0,84543 Santiago Manor Suite 610,Lake Wendyborough,NJ,42714,Condo,0,1,2.27,747,0,0,,,,1955,2785,6740,,2,4,1,Colonial,0,5,40.609797,-100.024079,Gateway,7.57
"008 Jason Run Suite 869 Nicholashaven, NJ 74764","008 Jason Run Suite 869 Nicholashaven, NJ 74764",Atlanta,1,008 Jason Run Suite 869,Nicholashaven,NJ,74764,SFR,,1,2.57,1150,1,0,1,,1,2014,3267,9170,Street,6,1,,Colonial,,5,36.746291,-115.206586,Fields,4.31
"99854 Sullivan Crescent Suite 232 Port Jacqueline, TN 76704","99854 Sullivan Crescent Suite 232 Port Jacqueline, TN 76704",Florida,1,99854 Sullivan Crescent Suite 232,Port Jacqueline,TN,76704,Duplex,1,,1.76,960,1,1,0,,,1989,1408,4045,Garage,1,3,0,Ranch,0,3,40.173887,-96.65082,Harbors,4.9
"0851 James Meadows Apt. 455 Marshallhaven, RI 98154","0851 James Meadows Apt. 455 Marshallhaven, RI 98154",Chicgo,0,0851 James Meadows Apt. 455,Marshallhaven,RI,98154,Single Family Home,1,1,1.91,285,,0,0,0,0,2004,3463,7796,Garage,4,2,,Ranch,1,2,37.791389,-79.941876,Village,7.37
"077 Hall Dale Suite 642 Bennettton, IA 89069","077 Hall Dale Suite 642 Bennettton, IA 89069", ,,077 Hall Dale Suite 642,Bennettton,IA,89069,Townhouse,0,,1.05,1188,0,1,,1,1,1954,2808,7029,Street,4,1,1,Colonial,,5,39.438266,-75.853402,Squares,9.6
"47072 Chang Junction Lake Stephen, GU 99525","47072 Chang Junction Lake Stephen, GU 99525",Chicgo,1,47072 Chang Junction,Lake Stephen,GU,99525,Condo,,,3.2,941,1,,0,,,1978,3499,7474,Street,6,2,,Colonial,1,2,40.124226,-96.071807,Pine,8.31
"57586 Davis Row Wallchester, WY 79409","57586 Davis Row Wallchester, WY 79409", ,1,57586 Davis Row,Wallchester,WY,79409,Single Family Home,1,1,2.19,1038,1,0,,,,1993,2377,6394,Driveway,4,4,0,Ranch,,4,41.332264,-82.78161,Curve,6.0
"331 Harvey Neck Bryanmouth, NY 90623","331 Harvey Neck Bryanmouth, NY 90623",Atlanta,,331 Harvey Neck,Bryanmouth,NY,90623,Single Family Home,0,0,3.34,361,0,1,0,1,1,1989,678,3760,Driveway,1,3,0,,0,4,37.404162,-106.029629,Street,3.31
"4621 Janet Island Apt. 928 New Betty, SC 19196","4621 Janet Island Apt. 928 New Betty, SC 19196",Dallas,,4621 Janet Island Apt. 928,New Betty,SC,19196,SFR,1,1,1.05,876,,0,1,,,2006,2009,9426,Garage,1,1,,Ranch,0,1,40.863721,-106.316198,Radial,8.99
"0274 James Cliffs East Antonio, IL 09514","0274 James Cliffs East Antonio, IL 09514",Chicago,,0274 James Cliffs,East Antonio,IL,9514,Duplex,0,,2.3,13,0,1,1,0,1,1978,1124,7880,Driveway,1,3,0,Colonial,0,4,33.804893,-78.88749,Valleys,5.76
"869 Davis Inlet Apt. 623 Port Keith, AR 90646","869 Davis Inlet Apt. 623 Port Keith, AR 90646",Tampa,1,869 Davis Inlet Apt. 623,Port Keith,AR,90646,Single Family Home,,0,3.15,1309,0,,0,,1,1994,1835,2223,,5,2,,,1,1,41.280394,-73.542085,Island,3.45
"14747 Woodard Island West Aprilstad, NC 45625","14747 Woodard Island West Aprilstad, NC 45625",Dallas,0,14747 Woodard Island,West Aprilstad,NC,45625,SFR,,,3.17,599,1,0,,0,,2024,1907,5260,Driveway,1,4,,Ranch,0,4,40.410609,-78.332728,Ville,6.99
"969 Smith Knoll West Charlotte, VI 36486","969 Smith Knoll West Charlotte, VI 36486", ,,969 Smith Knoll,West Charlotte,VI,36486,Duplex,1,,2.48,505,,,0,0,0,1991,3429,4038,,3,2,0,Ranch,,2,37.859608,-106.772935,Flats,7.18
"4409 Molina Springs Barberville, FL 59671","4409 Molina Springs Barberville, FL 59671",Chicgo,,4409 Molina Springs,Barberville,FL,59671,Single Family Home,0,,2.66,1483,0,0,,,0,1989,1370,4539,Street,1,3,0,Ranch,0,5,40.975581,-102.194244,Summit,3.32
"33754 Stewart Forge Suite 381 Normanside, IA 90739","33754 Stewart Forge Suite 381 Normanside, IA 90739",Chicgo,,33754 Stewart Forge Suite 381,Normanside,IA,90739,Single Family Home,0,1,1.57,1649,1,0,,0,1,1998,1563,9073,Street,6,2,0,Split,0,4,41.086479,-96.832103,Heights,7.45
"9892 Bradshaw Drives Jimenezfurt, MT 23356","9892 Bradshaw Drives Jimenezfurt, MT 23356", ,0,9892 Bradshaw Drives,Jimenezfurt,MT,23356,Condo,,,2.32,1611,,1,1,,0,1992,793,7286,Street,2,1,0,,1,1,33.793726,-104.680441,Throughway,5.02
"3685 Mayer Squares Apt. 706 South Christopher, MD 02601","3685 Mayer Squares Apt. 706 South Christopher, MD 02601",Chicgo,0,3685 Mayer Squares Apt. 706,South Christopher,MD,2601,Single Family Home,0,,2.56,1689,,0,,1,,2013,1290,2207,,2,2,,Colonial,,5,36.219763,-110.688475,Garden,5.66
"14969 Kevin Street Suite 117 Aaronfort, NY 50014","14969 Kevin Street Suite 117 Aaronfort, NY 50014", ,1,14969 Kevin Street Suite 117,Aaronfort,NY,50014,Townhouse,,0,1.49,880,1,,1,0,0,2018,1016,3712,Garage,5,3,0,Split,1,2,40.738457,-104.540638,Glen,9.61
"13085 Robinson Pines Apt. 992 Edwinview, RI 33762","13085 Robinson Pines Apt. 992 Edwinview, RI 33762",Chicago,0,13085 Robinson Pines Apt. 992,Edwinview,RI,33762,Duplex,0,,3.11,1230,0,,1,,1,1979,1102,3979,Driveway,4,1,1,Split,,4,33.794385,-112.481649,Falls,6.16
"5341 Amber Rapid North Lisa, SC 97575","5341 Amber Rapid North Lisa, SC 97575",Chicago,1,5341 Amber Rapid,North Lisa,SC,97575,Duplex,,0,3.09,1192,,1,,1,1,1959,1316,4683,Driveway,4,3,1,Split,1,1,39.609133,-97.395072,Crest,7.53
"9249 Kristy Curve Apt. 981 Anneton, TN 70668","9249 Kristy Curve Apt. 981 Anneton, TN 70668",Florida,,9249 Kristy Curve Apt. 981,Anneton,TN,70668,Townhouse,0,1,1.8,676,0,,,0,,1959,701,8450,Driveway,5,4,,,0,2,35.133696,-82.810582,Circle,6.94
"1219 Michael Lodge Vasquezfort, KS 37695","1219 Michael Lodge Vasquezfort, KS 37695",Chicgo,1,1219 Michael Lodge,Vasquezfort,KS,37695,Single Family Home,1,0,2.56,353,1,0,1,1,,1979,3344,1038,,5,3,,Colonial,1,3,34.14957,-91.249635,Forges,5.03
"9775 Price Course South Robertmouth, MA 47470","9775 Price Course South Robertmouth, MA 47470",Dallas,,9775 Price Course,South Robertmouth,MA,47470,Duplex,,,2.22,384,,0,,1,,2013,1926,1576,Driveway,1,1,1,Split,,2,37.794772,-73.670986,Alley,7.41
"5676 Huang Field Bryceport, NH 21280","5676 Huang Field Bryceport, NH 21280",Florida,0,5676 Huang Field,Bryceport,NH,21280,Townhouse,1,1,3.11,1780,0,0,,1,0,2003,897,4220,Garage,4,1,,,,2,33.265663,-85.573108,Point,4.98
"14681 Julie Row Michaelport, NV 04992","14681 Julie Row Michaelport, NV 04992",Atlanta,1,14681 Julie Row,Michaelport,NV,4992,SFR,0,0,1.49,158,0,0,,1,0,1955,735,5568,Garage,1,4,1,,0,1,40.212276,-75.573185,Trail,7.9
"50458 Robert Lake Carpenterfurt, NM 04319","50458 Robert Lake Carpenterfurt, NM 04319",Dalas,0,50458 Robert Lake,Carpenterfurt,NM,4319,Townhouse,,1,1.08,1799,1,0,1,1,1,1984,1065,3318,Driveway,6,1,1,,1,4,41.222616,-95.565,Via,9.93
"2508 Stacey Street Apt. 540 Lorihaven, VT 12594","2508 Stacey Street Apt. 540 Lorihaven, VT 12594",Florida,,2508 Stacey Street Apt. 540,Lorihaven,VT,12594,Single Family Home,0,0,2.84,1574,1,1,1,1,1,1991,2060,7857,,2,2,,Split,,4,39.15815,-80.610764,Path,4.44
"9246 Bennett Point Suite 381 North Thomas, VT 33820","9246 Bennett Point Suite 381 North Thomas, VT 33820",Dalas,1,9246 Bennett Point Suite 381,North Thomas,VT,33820,Townhouse,1,1,1.21,1547,1,0,,0,1,1954,1801,1310,Garage,3,2,0,Split,,4,34.150318,-109.954524,Stream,6.03
"5406 Black Parks South Ronald, IL 43424","5406 Black Parks South Ronald, IL 43424",Tampa,0,5406 Black Parks,South Ronald,IL,43424,Duplex,,0,1.41,863,1,,1,0,0,1994,3466,3326,Garage,1,2,,,0,3,41.78666,-115.547387,Falls,7.56
"61266 Nicholas Courts New Amanda, WI 96058","61266 Nicholas Courts New Amanda, WI 96058",Florida,1,61266 Nicholas Courts,New Amanda,WI,96058,Single Family Home,,1,1.45,1201,1,,,,1,1951,2742,1968,Street,5,1,1,,1,5,38.028744,-103.338411,Haven,4.64
"7986 Dalton Keys Smithchester, SD 12772","7986 Dalton Keys Smithchester, SD 12772",Florida,,7986 Dalton Keys,Smithchester,SD,12772,Duplex,,1,1.5,1892,1,0,1,0,1,1962,1036,1956,,6,2,0,Split,,4,39.70588,-106.33926,Burg,7.55
"011 Pamela Plains Joseport, CA 15722","011 Pamela Plains Joseport, CA 15722",Tampa,0,011 Pamela Plains,Joseport,CA,15722,Townhouse,,,2.41,904,0,1,1,0,1,2010,624,5613,Street,3,1,1,Ranch,0,2,41.676881,-108.297104,Trail,9.55
"14844 Christina Ports West Rachelmouth, FM 55605","14844 Christina Ports West Rachelmouth, FM 55605",Atlanta,,14844 Christina Ports,West Rachelmouth,FM,55605,SFR,0,0,1.59,1990,,1,1,,0,1983,2061,7161,Street,5,3,,Split,0,4,41.610377,-93.596164,Trafficway,6.56
"04230 Connor Meadows Apt. 234 South Taratown, NV 16604","04230 Connor Meadows Apt. 234 South Taratown, NV 16604",Florida,1,04230 Connor Meadows Apt. 234,South Taratown,NV,16604,SFR,0,,2.19,1519,1,0,,1,1,1954,2452,8424,Driveway,5,2,1,Ranch,0,5,41.615461,-92.237664,Lodge,7.39
"969 Moyer Bridge Suite 728 Williamborough, WI 33682","969 Moyer Bridge Suite 728 Williamborough, WI 33682",Dalas,,969 Moyer Bridge Suite 728,Williamborough,WI,33682,SFR,1,0,3.36,1285,0,,0,0,1,2014,1342,6652,,2,4,0,Split,0,2,41.822779,-104.097644,Vista,6.04
"90182 Thornton Creek Apt. 034 Ianchester, NE 93727","90182 Thornton Creek Apt. 034 Ianchester, NE 93727",Chicgo,0,90182 Thornton Creek Apt. 034,Ianchester,NE,93727,Townhouse,1,0,2.76,688,1,1,1,,,1950,810,7117,Street,1,4,1,Colonial,,1,33.901419,-89.53229,Rapid,8.39
"94516 Holly Garden Apt. 410 Nicholaston, IL 56568","94516 Holly Garden Apt. 410 Nicholaston, IL 56568",Tampa,,94516 Holly Garden Apt. 410,Nicholaston,IL,56568,Townhouse,0,0,3.38,279,,,,,,1976,1387,4817,,3,3,,Ranch,,3,35.530066,-87.266334,Brooks,9.68
"6058 Alexandria Junctions Payneborough, NE 50456","6058 Alexandria Junctions Payneborough, NE 50456",Dalas,0,6058 Alexandria Junctions,Payneborough,NE,50456,Townhouse,,1,1.76,200,0,1,1,,0,1969,1450,8866,Street,4,1,1,Colonial,,3,37.559955,-93.08041,Plains,7.92
"8955 Michael Island Apt. 845 South Mary, AZ 42162","8955 Michael Island Apt. 845 South Mary, AZ 42162",Tampa,0,8955 Michael Island Apt. 845,South Mary,AZ,42162,Single Family Home,,1,3.38,962,1,,0,,,1984,1047,7042,Street,3,3,1,,,1,35.052551,-107.185851,Way,4.24
"7249 Wright Inlet West Davidmouth, NY 30599","7249 Wright Inlet West Davidmouth, NY 30599",Dallas,0,7249 Wright Inlet,West Davidmouth,NY,30599,Single Family Home,0,,2.29,879,1,0,0,0,1,2022,3218,2899,Garage,6,4,0,,0,5,37.786927,-89.755583,Expressway,3.98
