Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer
Null,Cancelled,Opendoor,Yes,9.71,8.04,Investor Sale,Yes,Jessica Lin
New,Kick,MLS,,10.1,12.73,,Yes,Priya Sharma
Cancelled, ,Internal,No,10.21,9.73,Job Transfer,,Michael Chen
New,Null,MLS,,8.85,11.01,Downsizing,No,Jessica Lin
Closed, ,M L S,Yes,3.56,15.81,Downsizing,Yes,Amit Kumar
Reviewed,Cancelled,M L S,Yes,6.13,13.94,,Yes,Samantha Pierce
Cancelled,Available,Auction.com,Yes,3.55,5.16,Job Transfer,No,Amit Kumar
New, ,MLS,,9.9,9.08,Job Transfer,Yes,Luis Garcia
Reviewed,Close,Bulk,No,11.32,18.04,Investor Sale,No,Emily Patel
Closed,Close,M L S,,9.12,7.19,Downsizing,Yes,Emily Patel
Closed,Close,Internal,,10.01,6.89,,No,Jason Miller
 ,Close,MLS,Yes,7.64,9.1,Investor Sale,Yes,Priya Sharma
Closed,Available,M L S,No,3.39,9.7,,Yes,Jason Miller
New,Kick,Auction.com,No,8.6,8.65,Job Transfer,,Sophia Williams
Offered,Pending,MLS,No,10.09,8.98,Job Transfer,,Priya Sharma
Reviewed,Kick,Auction.com,Yes,3.49,16.11,Job Transfer,Yes,Jason Miller
 ,Null,Opendoor,,7.58,13.38,,,Emily Patel
Null,Pending,Internal,No,8.49,15.28,Investor Sale,Yes,Sophia Williams
Cancelled,Pending,Auction.com,No,11.96,18.66,Investor Sale,Yes,Samantha Pierce
Cancelled,Closed,M L S,,7.73,8.44,Job Transfer,Yes,Emily Patel
Cancelled,Available,Internal,,8.56,16.29,Job Transfer,Yes,Michael Chen
Closed,Close,Bulk,,8.33,7.79,Job Transfer,,Sophia Williams
Accepted Offer, ,Internal,No,3.75,8.18,Investor Sale,No,Amit Kumar
New,Pending,Auction.com,Yes,4.6,15.5,Job Transfer,Yes,Luis Garcia
 ,Null,Bulk,Yes,9.85,5.38,Downsizing,Yes,Michael Chen
New,Cancelled,Broker,,6.69,17.92,Job Transfer,Yes,Amit Kumar
 ,Null,M L S,No,6.28,5.41,Investor Sale,No,Jason Miller
New,Cancelled,Bulk,Yes,8.52,9.39,Investor Sale,No,Jason Miller
New,Pend,Bulk,No,8.13,18.18,,Yes,Jason Miller
Reviewed,Null,Bulk,No,3.12,19.93,,No,Samantha Pierce
Accepted Offer,Available,Internal,Yes,10.7,18.71,,Yes,David Thompson
Reviewed,Null,MLS,Yes,8.11,17.03,Investor Sale,Yes,Jessica Lin
New,Pend,Bulk,,7.81,7.96,,,Amit Kumar
 ,Close,MLS,Yes,10.97,6.12,,No,Priya Sharma
Closed,Always Kick,Auction.com,,6.1,15.66,Downsizing,No,David Thompson
Cancelled,Cancelled,Auction.com,,9.23,5.94,,Yes,Emily Patel
Offered,Pending,Bulk,,3.22,5.6,Downsizing,,Emily Patel
Offered,Available,M L S,No,9.1,8.41,Investor Sale,No,Luis Garcia
New,Pend,M L S,No,9.3,18.52,Job Transfer,,Jason Miller
Reviewed,Pend,MLS,No,9.67,13.64,Job Transfer,,Priya Sharma
Closed,Cancelled,MLS,No,4.73,6.37,Investor Sale,,Luis Garcia
 ,Kick,M L S,No,7.46,8.45,Job Transfer,No,David Thompson
Reviewed,Always Kick,Opendoor,,6.49,10.68,Job Transfer,No,Michael Chen
New,Null,Auction.com,Yes,11.41,18.1,,Yes,Amit Kumar
Offered,Kick,Opendoor,No,10.2,7.39,Downsizing,Yes,Luis Garcia
Closed,Pending,Bulk,No,7.4,9.4,Downsizing,Yes,Jason Miller
Null,Always Kick,MLS,,11.01,12.67,Investor Sale,,Jason Miller
Reviewed,Kick,MLS,No,4.92,15.59,Downsizing,Yes,Michael Chen
 ,Close,Opendoor,Yes,5.89,12.67,Downsizing,Yes,David Thompson
Reviewed,Always Kick,Auction.com,,7.27,6.14,Job Transfer,No,Luis Garcia
Reviewed,Kick,Broker,No,4.51,13.83,,,Michael Chen
 ,Pending,Auction.com,Yes,6.01,10.23,Job Transfer,Yes,Jessica Lin
New,Null,Broker,No,9.85,16.5,,,Jessica Lin
Reviewed,Always Kick,Broker,No,5.52,6.52,Downsizing,,Priya Sharma
Accepted Offer,Pending,Opendoor,No,11.95,5.98,Downsizing,No,Priya Sharma
 ,Pend,Auction.com,No,3.66,14.68,,No,David Thompson
 ,Close,MLS,No,7.07,9.42,Investor Sale,Yes,Jessica Lin
Offered, ,Bulk,No,6.5,8.89,Investor Sale,Yes,Priya Sharma
Closed,Closed,MLS,Yes,7.77,9.48,,,Michael Chen
 ,Close,Auction.com,Yes,5.63,13.31,Investor Sale,No,Sophia Williams
New,Closed,Internal,No,4.15,8.69,,No,David Thompson
Cancelled,Kick,Internal,Yes,7.61,18.92,Job Transfer,,Jason Miller
 ,Pending,Opendoor,Yes,8.61,16.71,Investor Sale,,Jessica Lin
Null,Null,Bulk,,6.39,19.13,Job Transfer,No,Sophia Williams
Accepted Offer, ,MLS,Yes,3.83,5.21,Downsizing,No,David Thompson
Cancelled, ,Auction.com,,7.9,5.01,,No,Samantha Pierce
Reviewed,Null,Broker,,4.31,11.91,Job Transfer,No,David Thompson
 ,Cancelled,Internal,Yes,10.74,5.94,Downsizing,Yes,Luis Garcia
Accepted Offer,Cancelled,Internal,No,11.76,17.62,,,Emily Patel
Offered,Always Kick,Internal,Yes,8.31,7.23,Job Transfer,,Jessica Lin
Closed,Closed,Opendoor,,10.37,5.55,Investor Sale,,Sophia Williams
New,Pend,MLS,Yes,3.25,13.49,Downsizing,,Luis Garcia
Reviewed,Null,MLS,Yes,7.49,11.74,Investor Sale,No,Samantha Pierce
Accepted Offer,Available,Auction.com,,11.59,19.11,Job Transfer,,Emily Patel
 ,Close,MLS,,10.09,15.52,,No,Jessica Lin
New,Cancelled,MLS,Yes,5.86,14.28,Job Transfer,Yes,Amit Kumar
 ,Closed,Internal,Yes,3.9,8.72,Investor Sale,Yes,Jason Miller
Closed,Closed,MLS,,10.93,10.43,Job Transfer,Yes,Emily Patel
Cancelled,Cancelled,Internal,Yes,4.94,10.64,,Yes,Amit Kumar
Null,Pend,MLS,Yes,4.65,7.38,,Yes,Emily Patel
Closed, ,Broker,Yes,7.8,9.44,Downsizing,,Emily Patel
Accepted Offer, ,Internal,,9.4,17.39,,Yes,David Thompson
Reviewed,Null,Auction.com,Yes,6.08,8.1,Investor Sale,Yes,Sophia Williams
Accepted Offer,Available,Opendoor,No,8.37,17.18,Investor Sale,,Emily Patel
New,Available,Auction.com,,11.68,17.44,Downsizing,No,David Thompson
Cancelled,Pending,M L S,,4.26,11.62,Job Transfer,,Jason Miller
New,Closed,Opendoor,,3.85,7.9,,,Samantha Pierce
Closed,Available,Broker,,10.2,16.02,Downsizing,No,Michael Chen
 ,Pending,Broker,,6.02,12.03,Job Transfer,,Jessica Lin
New,Closed,Bulk,,8.68,6.58,Job Transfer,Yes,Michael Chen
Reviewed, ,M L S,,5.36,10.01,Downsizing,No,Luis Garcia
Null,Pending,Broker,,10.16,5.18,Job Transfer,No,Jessica Lin
New, ,MLS,,8.68,10.32,Job Transfer,No,Sophia Williams
Cancelled,Always Kick,Auction.com,No,8.7,6.27,,No,Jessica Lin
Closed,Null,Auction.com,Yes,6.12,8.55,,Yes,Jason Miller
 ,Pending,Internal,Yes,3.0,9.62,Downsizing,Yes,Priya Sharma
Offered,Closed,MLS,No,5.21,17.34,,No,Samantha Pierce
Reviewed,Pending,Auction.com,No,11.42,13.33,,Yes,Sophia Williams
Null,Pending,Auction.com,No,5.69,12.16,Downsizing,No,Priya Sharma
 ,Close,Auction.com,,10.16,17.98,Investor Sale,,Samantha Pierce
Reviewed,Always Kick,Broker,Yes,9.83,13.87,Job Transfer,Yes,Jessica Lin
Offered,Null,M L S,No,3.22,14.18,Downsizing,,Michael Chen
Accepted Offer,Closed,MLS,No,8.26,14.81,Job Transfer,,Samantha Pierce
Offered,Null,Internal,No,4.54,12.2,Downsizing,No,Sophia Williams
New,Close,Opendoor,,10.84,9.5,,,Emily Patel
Null,Null,Broker,,3.69,15.65,Downsizing,,Jason Miller
Offered,Kick,MLS,Yes,6.97,9.12,Downsizing,Yes,Luis Garcia
Closed,Null,M L S,No,4.87,9.9,,Yes,David Thompson
Cancelled,Close,M L S,Yes,3.23,10.88,Investor Sale,,Jessica Lin
 , ,Bulk,No,3.22,13.23,,Yes,Luis Garcia
New,Always Kick,Auction.com,,3.04,17.09,,,Michael Chen
Null,Always Kick,Bulk,No,6.35,6.36,Investor Sale,,Emily Patel
 , ,MLS,No,10.51,8.62,Job Transfer,Yes,Jessica Lin
Null,Closed,Bulk,,3.12,13.51,Job Transfer,,Samantha Pierce
Null,Kick,M L S,,4.27,10.73,Downsizing,,Amit Kumar
Accepted Offer,Pending,Broker,Yes,8.05,15.41,Job Transfer,No,Michael Chen
Offered,Always Kick,MLS,,7.04,9.9,Job Transfer,,David Thompson
 ,Null,M L S,Yes,11.87,8.69,,,David Thompson
Accepted Offer,Closed,M L S,Yes,3.71,16.44,Investor Sale,Yes,David Thompson
Cancelled,Null,M L S,,8.0,19.46,Job Transfer,Yes,Samantha Pierce
Closed,Kick,MLS,No,8.62,13.48,,,Michael Chen
Accepted Offer,Available,Internal,No,6.92,15.71,Job Transfer,Yes,Emily Patel
Offered,Pend,Opendoor,Yes,9.99,15.58,,,David Thompson
Null,Pending,Internal,Yes,8.42,12.86,Downsizing,Yes,Amit Kumar
Null,Pend,Opendoor,,8.79,11.88,Investor Sale,,Samantha Pierce
Null,Pend,M L S,No,11.52,14.59,Job Transfer,,Amit Kumar
Closed,Cancelled,Opendoor,,3.24,17.64,Investor Sale,Yes,Jason Miller
Closed,Pending,Auction.com,No,10.81,14.21,Downsizing,No,Samantha Pierce
 ,Null,M L S,,8.84,18.95,Investor Sale,,Luis Garcia
Offered,Pend,M L S,,5.97,6.73,Downsizing,No,Sophia Williams
 ,Closed,Auction.com,Yes,3.44,11.53,Investor Sale,,Samantha Pierce
New,Closed,Broker,No,9.72,8.86,,,Jason Miller
 ,Pending,Internal,,11.92,16.56,Job Transfer,,Priya Sharma
 ,Always Kick,Bulk,No,7.38,18.04,,Yes,Emily Patel
Null,Closed,M L S,No,7.15,10.21,Investor Sale,Yes,David Thompson
Closed,Kick,Auction.com,Yes,5.59,11.13,Downsizing,No,Amit Kumar
Closed,Kick,Bulk,,11.18,19.76,Job Transfer,No,David Thompson
 , ,Bulk,,9.83,14.28,Investor Sale,No,Samantha Pierce
Accepted Offer,Null,Broker,Yes,3.95,6.1,,Yes,Emily Patel
 ,Available,M L S,,8.21,8.49,,Yes,David Thompson
Accepted Offer, ,MLS,,3.27,19.73,Job Transfer,,Luis Garcia
Accepted Offer,Cancelled,Broker,,4.82,15.31,Downsizing,,Jason Miller
Offered,Null,M L S,No,6.02,7.95,Job Transfer,,Jason Miller
Offered,Always Kick,Internal,Yes,3.76,5.56,Downsizing,,Emily Patel
Closed,Close,MLS,,7.9,5.16,,,Jason Miller
Cancelled,Cancelled,MLS,No,4.24,6.54,Job Transfer,No,Michael Chen
Closed,Null,Broker,Yes,8.81,16.94,,,Jason Miller
Offered,Cancelled,Opendoor,,9.79,14.46,Downsizing,No,Amit Kumar
 ,Pend,Auction.com,No,8.44,19.41,Downsizing,No,Emily Patel
Null,Close,MLS,,4.72,14.86,,Yes,Sophia Williams
Accepted Offer,Always Kick,MLS,,8.82,19.17,Downsizing,Yes,Sophia Williams
Reviewed,Close,Internal,,7.05,13.94,,Yes,Samantha Pierce
 ,Pending,M L S,No,8.16,9.67,,Yes,Sophia Williams
Closed,Available,Broker,Yes,11.55,12.1,Downsizing,,Sophia Williams
New,Pending,M L S,No,7.19,15.2,Job Transfer,Yes,Jessica Lin
Cancelled,Null,M L S,Yes,9.72,18.31,Downsizing,Yes,Michael Chen
Closed,Available,Internal,Yes,10.26,17.11,Job Transfer,,Amit Kumar
Null,Null,Bulk,Yes,11.36,12.15,Job Transfer,Yes,Luis Garcia
Closed,Available,Broker,No,6.24,8.87,Job Transfer,No,Priya Sharma
Reviewed,Pend,MLS,Yes,6.15,6.63,Investor Sale,No,Priya Sharma
New,Pend,MLS,,5.74,13.75,Downsizing,No,Emily Patel
Cancelled,Kick,Internal,,4.57,10.47,,No,Jessica Lin
Accepted Offer,Closed,MLS,No,8.01,7.07,Job Transfer,,Jessica Lin
Reviewed,Closed,M L S,No,4.79,18.98,Downsizing,,Amit Kumar
New,Pend,Opendoor,Yes,10.28,10.39,Job Transfer,,Emily Patel
Cancelled,Cancelled,MLS,No,10.19,6.92,Investor Sale,,Emily Patel
Closed, ,Auction.com,Yes,9.63,11.96,Job Transfer,,Samantha Pierce
Offered,Close,Broker,,8.74,17.86,Investor Sale,Yes,Jessica Lin
Offered,Pending,Internal,No,10.23,14.26,Job Transfer,Yes,Sophia Williams
Null,Pend,MLS,Yes,4.12,8.97,Investor Sale,Yes,Michael Chen
Null,Available,MLS,No,7.12,19.76,Job Transfer,Yes,Jason Miller
 ,Pend,Broker,,7.62,17.19,,No,Jason Miller
New,Closed,Internal,,4.87,12.33,Downsizing,,Amit Kumar
Offered, ,Bulk,Yes,10.62,14.94,Investor Sale,No,Sophia Williams
Reviewed,Available,M L S,,6.21,11.89,,,Luis Garcia
 ,Available,M L S,No,10.83,15.78,Investor Sale,No,Jason Miller
New, ,MLS,No,9.23,19.42,Investor Sale,No,Amit Kumar
Null,Always Kick,MLS,Yes,9.43,18.85,Job Transfer,No,Emily Patel
Offered,Available,Broker,Yes,5.44,12.26,Investor Sale,,Sophia Williams
Accepted Offer,Always Kick,MLS,Yes,4.9,19.71,Downsizing,Yes,Emily Patel
 ,Pending,MLS,No,9.6,13.76,,,Jason Miller
 ,Cancelled,M L S,,8.26,18.68,,Yes,Michael Chen
Reviewed,Closed,Broker,Yes,4.56,17.04,Investor Sale,Yes,Jessica Lin
Null,Null,Opendoor,Yes,11.05,6.13,,Yes,Amit Kumar
Null,Always Kick,Auction.com,No,10.71,7.47,Downsizing,,Luis Garcia
