Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,Redfin_Value
1242,328935,347163,524060,1571,3096,1355,1391,280535
3033,147881,347112,298040,1279,1002,1397,2086,473899
3382,390115,367630,582348,1109,1368,1707,1245,220070
1160,370950,450813,457992,3139,3835,931,3195,499302
2244,208847,204756,433435,3366,1596,1045,1814,409673
2044,90433,306030,554352,1329,1061,926,1141,165471
2021,142185,472189,415291,1292,2647,1652,1552,566659
2986,170386,326197,448073,2756,3758,1897,1610,582478
2394,309782,505212,219545,1134,3053,709,1990,500233
2156,471282,174446,133418,1317,3342,1749,3471,429068
1683,235177,238243,472105,1485,3097,1424,3013,449717
1322,295051,386887,309269,1689,2622,1213,1881,324867
2343,146367,182349,494284,2192,1843,992,1364,354904
3298,481540,436257,103126,1930,1863,1256,3121,457471
1385,373006,337466,317007,904,1761,1964,1409,236525
3018,391110,200598,242553,2338,1297,852,2638,406188
1889,299694,457368,170595,2684,1655,1778,1226,238693
3185,356457,385843,397497,1170,3164,1133,1767,396834
1525,222713,420293,111521,2319,1969,724,2905,128827
857,398137,427607,149027,3219,2161,1082,3149,527426
1947,354348,168120,349569,2005,3877,725,2182,248107
2468,480711,498904,439363,1496,2649,1573,2955,120320
3104,499803,380149,598132,2079,2471,1907,1782,126685
1464,234295,447934,241985,1089,1352,1797,2356,139103
2393,190327,356502,185345,1246,1808,902,2415,169692
2110,296469,251671,423102,2889,2088,1138,3011,432483
2708,454169,307384,148543,3472,2270,1098,3292,117368
1152,344758,288720,165222,1474,3989,733,2247,558997
2210,466686,244499,521547,1318,2277,1716,3188,241608
1771,299144,431405,273775,2831,2197,1954,3017,195882
888,370263,408793,392436,2320,1249,1199,2319,120988
1790,425460,115323,415809,1111,2048,1800,1237,423323
1234,163719,91508,321661,2361,1632,1139,1472,448041
1052,201761,300944,384720,1789,1913,1215,1744,492291
1927,116156,108907,513937,1685,2718,1947,3354,554348
3176,494768,316731,288483,1213,2085,1031,2560,456464
1566,187331,363334,308375,2568,1202,1285,2368,157036
1918,255551,179997,319173,1321,2657,1965,1224,127924
1425,420580,467485,523333,2455,1495,1879,1864,496288
1004,148376,246428,279291,3477,2772,1784,1984,452932
3184,113850,356689,181045,2537,1498,841,3199,537977
1812,360889,380093,554997,926,1851,731,2271,430802
3013,364715,522833,166818,3276,1471,1195,1738,443286
2539,184557,302645,124373,3465,3980,1812,2140,179853
1678,112916,130320,547714,2103,1582,1341,1974,270096
2462,219557,479646,239046,2647,2406,1345,2671,579741
2984,361241,451992,510097,1029,1600,1855,1508,306362
1960,126832,374727,457381,3035,1240,1273,1863,295835
1995,324374,525195,402871,1140,2035,1885,2637,170326
1327,364982,278128,219534,2186,3876,1829,3471,291581
2296,443697,202353,412403,3084,3755,1742,3265,460573
3169,96417,512825,205931,2051,2353,1208,1735,121824
3377,210063,513449,443739,2974,1761,1145,1866,561937
2829,495183,410745,382222,917,1419,836,2998,283713
1074,305477,507313,267616,3490,2624,1678,3424,391565
1000,220185,455566,232901,3134,3785,889,2445,242512
1093,303651,232273,428980,2899,2546,1930,1980,594228
1390,432676,315203,281150,3484,1143,1077,1336,164719
2530,249735,465438,159381,1523,2576,1859,1314,587536
3015,306868,359096,593106,1156,3377,776,2263,116342
970,336124,411784,122420,2103,1237,1959,1671,357057
3080,204351,264881,311214,2155,2607,767,2997,150585
1307,255552,410328,199999,1045,1745,1500,3434,582738
1786,196888,461822,436939,2675,2387,1274,1141,131047
2747,255341,287326,170819,2519,2633,1829,1995,297543
1765,372962,171707,104565,2934,2923,1300,1524,178177
3344,439616,513988,126569,2158,2909,1253,2343,185833
3103,430494,173370,363031,2192,3511,1388,1787,309335
2274,403543,368885,597363,2925,2166,708,2426,591920
1995,121974,409532,481119,2701,1869,1565,2049,198502
2365,157741,244761,399156,2540,1145,770,2595,131793
3364,295684,101857,351124,1632,2706,1652,2624,415203
2875,243274,110475,156754,1936,2247,1769,1884,201288
1210,410886,371388,134037,3397,2192,1446,2668,487454
1915,98717,408964,200090,2751,1550,1693,2001,345544
2814,247334,305084,388090,3384,2214,1811,2782,512084
3302,496917,400765,125319,2463,3572,924,3072,154010
1725,355253,507032,345052,1498,2427,1349,2352,538131
1818,152968,110837,114500,2528,2405,1554,1913,558502
1920,144729,97946,108931,3377,1658,1406,2648,442490
2351,356677,424715,203029,1261,2896,1460,1711,182459
2907,476103,130132,477210,3211,995,1798,3433,246986
840,193501,322106,216525,3492,3006,1228,3034,571008
880,229838,135380,374919,1044,3077,735,3173,169215
1942,145449,307684,172781,1027,3972,1967,2912,344621
3303,398575,131815,91853,2512,3866,1038,2493,209949
2120,493393,223857,307960,1460,1823,1080,1392,394493
2358,364062,173403,333700,3183,2801,1290,2137,147499
1115,376403,340545,365444,2316,1258,1014,2868,319346
1849,290897,211724,362606,2323,1373,1076,1170,119255
2625,471441,438453,546208,3280,2186,1162,3313,402671
2919,359724,452045,482981,1869,1003,1281,2809,233696
1655,212425,297210,113233,3055,3455,1894,1652,191699
2785,263008,451167,259000,3295,3533,829,1255,530823
1301,343978,155848,412964,2827,1534,1438,2865,110743
1483,325381,209786,93153,1625,2770,1328,1297,360680
2844,325834,536541,385795,2837,3047,1186,1729,404699
2582,345214,412342,461331,1552,1140,1272,2692,353786
3291,353739,546512,153449,983,1171,1980,1713,281970
2933,238347,152068,460774,1709,2416,1725,3417,300822
3413,357915,486308,128106,1722,2776,1835,1405,93731
3230,210165,412751,263558,3480,1700,1197,2255,240058
1232,185920,147186,162549,2646,3141,1316,3469,341129
1739,277154,188496,335328,2606,2880,1526,1218,292597
3483,324213,463718,254634,2787,1821,840,1608,277657
2284,368018,338184,311420,1880,3042,1568,3346,252703
3003,338700,438159,377905,2959,1901,1130,3110,485937
2054,416837,297045,255909,2911,2598,1746,1625,553324
1666,314646,323364,411409,1044,1403,1739,3463,500675
1039,337770,146298,485324,1443,3265,1469,3194,440398
2348,150731,302341,589600,1882,1698,1684,2114,233674
2781,462936,242709,562597,1162,1299,849,2035,97860
902,274008,392900,225233,1071,1807,1111,1154,575733
2945,354429,254484,357721,2034,3769,1401,2562,584312
1211,296235,463210,524278,919,3323,1386,1328,160907
2005,228176,286493,448903,2614,2709,1657,3149,200308
860,385753,277168,460268,1572,970,1535,3345,478129
1474,407740,439212,303931,2147,2898,1267,2930,215885
2160,376116,210751,118932,1398,2764,1630,2113,592403
1039,357446,258135,473152,1999,2355,1829,1304,186169
1171,323827,220483,124136,1875,2999,1392,2668,443202
2654,95104,486777,284239,1561,3604,1943,3221,201434
2492,241828,476282,575166,1647,3620,1823,2934,370978
3360,381266,533537,512060,2500,1768,1168,1582,555213
2411,160720,406759,368037,2322,2599,1490,2218,186007
892,95741,200357,540626,2609,1683,1475,2009,133830
3212,470736,531865,262769,957,3137,919,3089,581823
2336,366870,430334,532042,2686,3612,1292,1523,580524
1559,102191,318238,563577,3434,1300,1631,3236,301572
1546,380396,172347,157913,2965,1483,1478,2733,392451
3048,468272,301750,125794,3151,3242,1191,1620,132666
3382,443577,458410,447418,2240,1438,1079,3402,154526
1962,432490,511907,493189,2264,1413,1020,1329,246191
2170,199246,385967,587615,1026,3567,1381,2891,508400
2255,332313,304260,401023,1552,2086,1689,2617,132639
1280,323261,384969,539883,1950,2426,1526,2135,121152
896,376933,263846,546964,931,2416,1333,2004,426176
1305,439594,160101,337569,2549,1865,1504,1290,286846
2427,462675,307560,371069,1003,1003,1031,2188,118846
3006,229305,269137,475871,1379,3303,995,3047,181539
3383,187810,92191,472043,1528,3491,709,1547,285762
1447,225049,336962,298717,1423,3460,1050,2426,556064
1538,187641,167289,279386,3264,2731,1603,1490,482159
2912,268393,148686,281863,2242,3417,1222,1976,122874
3011,428884,223897,169513,1919,3811,1773,2824,548587
2270,448009,475174,429101,1718,1681,1732,2361,597649
2750,222381,500990,267841,3112,3656,1434,3148,202270
2407,245308,336415,565520,2599,998,812,3186,532225
1655,161437,235031,248982,2503,3491,1164,1520,371014
3290,499215,175242,559756,1542,2199,966,2679,470741
3429,251345,498778,142387,2125,2753,1369,3326,498433
2852,353563,131088,232533,2465,1753,1137,2328,418879
1469,406914,143065,339439,1587,1895,1594,3446,429016
889,491508,513275,594396,3411,1957,709,2389,547849
2007,495235,220918,254103,1788,1437,2000,3483,337276
1370,108880,489256,265896,2328,1156,757,3471,316657
2990,140797,297708,154829,2932,3085,756,2780,267076
3006,178773,325472,279895,2732,2424,1118,2473,484569
1948,157173,526088,103069,2455,2700,745,1586,316297
2318,363951,201142,122174,1568,1767,1521,1432,361960
1275,116120,281694,327276,1615,3508,1276,2346,492230
977,309291,464496,592407,943,3469,1430,1251,174566
1923,321910,316467,459158,2930,1419,922,1295,131899
926,388773,114407,530374,3230,907,857,3306,218577
2721,224792,155171,181468,1241,976,1691,1273,459089
3392,139296,131555,102874,3333,1678,1414,2079,560683
1570,338963,371330,517703,3182,1998,1522,1884,507420
811,158626,523950,168698,1482,1697,1807,3183,338991
2064,107764,106214,417165,2370,3963,1942,1274,416999
1402,370942,274144,279112,2504,3427,770,2238,473389
2471,178223,456714,412549,2468,2504,1582,1204,361264
2482,195171,226969,450219,3070,3270,1290,1290,417219
1595,104353,336403,136390,1440,2633,1767,2740,591052
3032,120876,248792,262730,2258,2421,1003,1855,329295
2303,166772,135349,445459,2123,1387,1173,2640,279972
1579,291994,515702,360777,1089,3164,781,2686,138993
819,416227,118314,168164,1701,2150,798,2441,140258
1096,295969,266385,331065,1859,3030,777,1365,269854
1054,177107,469764,238718,2034,2132,1827,2236,109692
999,192757,481450,557540,1104,3896,1990,3159,379997
1644,426196,289165,276223,3298,2135,1580,1155,125648
834,442097,403112,537161,2571,1983,791,3282,125715
3464,281950,486085,182664,2886,2278,1619,2555,431207
3298,315311,511279,160948,1590,1913,1700,2921,303395
1535,405481,258052,595311,1212,3975,802,2186,564764
3085,221452,184802,381578,1089,2729,1680,2651,583716
1201,128657,144225,189992,3254,2014,840,2802,511087
2783,493622,405424,350634,1223,2257,1099,2069,339710
2984,145158,218398,104006,2121,2380,942,2817,180219
1923,487348,285290,308432,1944,967,1096,2920,537785
3432,240452,135558,194524,2737,1658,957,3110,570226
2013,274916,482144,93847,905,2077,1274,1915,472293
3040,401449,150021,581302,2898,1488,1662,2359,428942
3129,488622,307606,429595,1734,3409,1604,2367,310352
3260,134058,126661,106338,2929,2379,1573,3252,418331
2734,130121,403500,591736,2671,2622,1497,1492,198762
3343,408563,493321,150998,2626,1341,1242,1110,525688
2195,106683,211176,313428,2357,1397,1766,2479,170529
1640,158598,262024,318301,1236,2987,1184,1675,595987
2600,297205,175593,415277,2285,2479,1853,1954,465322
2901,155661,256266,237985,1780,3258,1993,2618,514566
2556,284107,186218,598980,2735,3836,1509,3406,369815
2985,211944,535692,109817,3266,2159,1885,3483,113421
3057,439684,391454,279700,1045,1787,958,3230,596434
2743,200887,127930,276159,1272,2853,1994,3315,377366
1086,296181,147421,228936,1748,3331,1759,2698,347252
852,95325,441355,222503,1541,985,907,2244,376742
3073,143213,317571,495161,1825,1529,1663,2723,320631
2294,172294,434969,187638,2816,2664,1894,2741,405663
2775,144175,399958,262988,3358,1167,1443,3045,360879
1266,200116,113824,125321,2756,1177,1172,2008,449672
3195,388219,435401,561985,1256,3818,1434,1630,355996
1993,365571,205327,117673,2376,2731,1601,1182,321557
2191,339452,236455,444711,1141,3412,763,1585,95164
1400,224206,361327,213380,1648,2624,908,1747,208884
2936,299914,191652,197838,3167,1295,1939,2458,404416
2113,159186,397276,435191,3002,3071,960,1217,595944
3280,450723,509772,562882,3240,2248,955,2216,179262
1218,237138,456979,461655,1137,1323,1242,2872,260948
2646,226525,270901,284937,2058,2426,1658,2183,198738
2680,132731,489922,445836,3254,3153,811,2911,219701
2497,295232,414286,586451,1900,2966,1637,2091,452328
1022,267272,262392,508812,2248,2995,1163,1746,317555
835,310339,184068,541468,2741,3959,934,3404,261463
2028,320949,528257,490465,1984,2192,1367,2844,433870
1791,292890,473966,136838,3208,3593,1052,2682,569214
2799,404313,413366,343153,2133,3260,924,1617,383049
2125,146764,421560,175900,1419,1815,1356,2920,537829
3072,344797,365130,162689,2799,2688,850,1104,488901
1684,479706,464430,258993,1371,1728,1367,2699,589235
1206,269376,355137,507501,1261,2963,1542,3365,385114
2612,370085,102265,238125,2573,3699,1354,3268,322751
1006,117149,324419,189686,2272,3130,1439,2923,284590
3338,364251,263617,264194,2317,3165,1216,2958,592325
2562,140821,283548,245574,1987,3637,974,1251,95894
1175,285069,214636,380023,1558,1715,1717,3406,293292
2343,340234,239972,263093,2078,3986,1095,1524,484259
1426,283102,270912,213610,3198,2116,1569,1884,254213
3188,339806,186080,177590,3193,2953,754,3411,587417
1475,196470,499274,532451,2285,1024,1492,3076,358416
1270,463453,214442,309860,3197,1185,1411,2003,425080
1170,172564,545572,117644,2867,1286,1281,1625,542384
1916,138226,415589,92938,1930,1350,1654,2404,320359
2477,421334,142930,168385,3087,3188,1846,3229,534063
3284,214420,308461,202742,2120,3627,701,1386,406733
2116,251592,392781,516835,2574,2021,1464,3480,99409
2962,117066,466763,357866,2315,2513,1779,3129,448700
3192,469531,215875,539563,3188,1986,1681,3106,164634
2068,367756,494904,230821,2122,1848,1553,3491,416196
2233,393542,473217,458543,922,1141,1332,1569,414134
3463,461055,522845,364321,2228,2674,1949,2911,258742
2567,333629,347626,393993,3005,3376,1296,1520,484211
2776,485957,253730,112402,3375,2902,720,2140,108210
879,211224,367917,218526,1829,3981,1149,1113,120835
1388,335624,415840,496225,3290,3804,822,1131,346390
1363,239636,510619,297902,2593,1598,1089,1646,592057
1213,131038,447657,498778,1279,3311,1493,1711,366712
3184,326783,102598,489553,2379,3190,1242,1549,99677
3081,464982,311421,222829,3485,973,788,3269,246244
1076,164111,511789,233860,1194,3935,1776,3397,389461
1296,319556,445921,493654,3221,3723,787,2017,153223
3126,407910,384460,580637,1969,2355,1512,2514,506499
1494,152560,237690,560289,1315,1294,1571,1713,125297
3317,315176,434685,276407,2001,3002,1730,2595,134118
1567,267022,501628,241494,1816,2701,997,1601,279689
2983,484721,159600,321993,2298,1793,956,1462,206823
1337,494322,466547,367485,1809,1191,1442,2615,335419
1831,406215,259841,168102,1238,3272,1821,1790,121631
3241,271081,196921,253755,3399,3665,1627,2810,457856
2737,102120,495974,412770,926,1566,731,1100,442114
1087,103801,165212,444391,2725,2371,1256,3061,279900
3482,351300,474163,204492,2310,3016,1104,3313,102103
2868,380983,166927,483841,2849,3887,1318,1542,97033
1150,324013,150415,127480,1923,3618,1233,2318,450906
1683,307952,243817,255199,3125,1907,1249,1436,288833
1807,372775,157544,573183,1099,1472,1843,3001,519943
1849,138541,92048,313834,1179,2511,1347,1483,195849
2976,155085,447237,234937,2792,2086,1928,1898,373879
2512,329470,142164,491775,904,2794,847,2146,484843
2419,248484,393281,186034,1110,2124,765,1303,425026
921,117403,535215,570424,3200,1264,1642,2419,317529
911,434295,435110,518242,2458,1593,1094,3256,302944
1531,281086,397836,539279,1123,3405,1227,3414,540486
1009,486592,119793,441322,2582,1102,1453,3458,144377
3228,243649,466197,391525,1960,3658,1778,3199,453353
1973,430746,122385,549595,1907,3966,1344,1920,376183
2102,141767,238240,531321,3101,1536,1583,1838,523252
2286,353452,419009,410872,2533,3579,1603,2579,368587
1629,136322,366740,317926,2791,3484,765,3264,599098
3483,382601,184252,413596,2986,2402,1964,3421,575137
3212,128875,167801,146792,2884,3976,1517,3070,95063
917,121608,510195,402238,1524,1972,881,3207,426352
1173,187852,444873,118685,2302,3398,1251,1761,355267
941,245435,173963,266859,1614,1431,1161,1857,279665
3353,393727,280910,137882,1172,2955,923,1944,196894
1873,319317,537759,102679,1702,3373,1219,3272,527694
863,375909,178271,485468,1908,1535,1771,1617,583569
3287,418762,385358,138511,1927,2786,1922,1722,154624
1096,453780,94034,319381,3084,2691,1723,3400,214156
1250,103461,325155,422712,1302,3107,1699,1762,389589
3442,426873,441130,167042,2639,3775,1371,1439,362293
1141,206797,141352,273117,2181,2295,1785,2941,560245
2379,359184,244249,219128,3198,2562,1450,2253,360420
1151,178970,188659,317157,2996,906,1193,2151,589369
