Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag
14026,54664,1,1,1,1,0,1,,,1,0,0
76155,10044,0,0,,0,1,,0,1,1,,
50445,12154,1,0,,1,0,1,1,1,1,1,1
94118,68704,,1,1,,,1,0,,0,0,0
80578,606,0,1,,,1,1,0,0,,1,1
67650,40303,,,,,,,1,1,0,1,
87393,1406,0,0,1,1,,,,,,1,
22967,45796,,1,0,0,0,,,,0,,1
34857,74412,0,,1,1,0,1,0,0,1,1,
99550,57011,1,0,,1,1,,0,,1,0,0
74645,64891,1,,1,0,,0,,,1,0,
2981,28221,1,0,,1,0,1,1,,1,0,0
254,57383,,0,,1,,,0,0,0,0,1
14973,63891,0,,,,,1,1,0,,,
72044,11816,,,0,0,1,1,,1,,,0
76753,64459,1,,,0,0,0,1,1,,,0
35573,19737,0,1,0,,0,0,0,1,1,0,
12821,82301,1,1,0,,0,,1,,1,,1
77287,73454,1,,0,,1,,1,,0,0,1
64052,44074,,,0,,,,1,,,1,
44936,90479,1,1,0,,1,0,,0,1,0,0
78531,69785,1,,0,1,,1,1,0,1,1,0
40994,32420,,1,0,1,,,,1,0,0,1
32580,5794,,0,1,,0,1,0,0,,1,1
21575,95075,,0,,0,,,,,1,1,1
89823,68281,,0,1,0,1,0,0,1,,1,0
25323,77427,0,1,1,,1,1,,,0,,1
7142,53625,,1,,1,,,0,,0,,0
79675,71800,0,,,0,0,,,,,1,1
52814,48675,,1,1,0,,,0,,,1,1
81657,50380,1,1,1,,,0,0,1,0,,0
71488,95818,0,0,,0,1,0,,,1,0,0
92583,75482,0,0,1,0,1,,1,1,1,1,0
92625,16772,1,0,1,1,,0,1,1,0,1,0
15249,12430,0,0,,0,,0,,0,,0,1
7036,79860,1,1,,1,0,0,0,,1,0,0
58232,15379,,,0,0,,,1,0,1,0,1
84913,14474,1,,,0,1,1,1,,,1,
69083,57012,0,,,,,1,0,,,0,1
82052,15293,,0,0,,1,1,0,0,1,0,0
84411,46702,,,0,0,,1,1,0,0,,1
10925,27837,0,,,0,,0,1,0,0,1,0
25961,35830,0,1,0,,0,0,1,1,,0,1
19360,84322,1,0,0,0,,,,0,0,,1
43117,90899,,1,0,0,1,1,0,,,,1
24889,46364,,0,,0,1,1,1,0,1,0,
33607,62763,1,1,1,1,1,0,1,1,,,1
81222,68079,1,1,,,,,1,1,1,0,
37132,37012,,,,,0,0,0,0,1,,1
37064,53128,0,0,,1,0,,1,0,,0,
52391,73690,1,0,0,0,,,1,0,1,0,0
34489,86815,1,0,1,0,1,1,1,,0,0,1
14680,27401,1,1,,1,1,,,,,1,0
43257,98907,,,1,0,1,,1,0,1,0,0
18177,46807,0,1,,,1,0,1,0,1,1,0
67594,27972,0,,1,,1,0,1,0,1,0,
53634,68106,1,,1,0,,,1,,1,,
27123,39109,,0,0,0,1,,0,,1,,0
40223,23236,,1,0,0,1,1,,0,0,1,1
31978,88773,,1,0,1,0,0,,,,,
14993,44076,1,0,0,1,0,1,,0,0,,0
91898,3908,1,,1,1,,1,,0,0,0,
17768,81142,,1,0,0,0,1,0,0,,1,
64556,98642,1,,1,,0,0,,1,,,1
87921,56424,0,1,0,,,,,1,,,
27825,79459,1,0,,0,0,1,1,1,,,0
63057,45021,0,,1,0,,1,0,1,0,,0
76195,4652,,,,1,,0,,0,1,1,0
75355,72561,0,1,0,,1,,0,0,,1,1
67677,31125,1,0,,0,1,,0,0,,,1
501,32549,,1,,1,,0,,1,,0,0
76934,7614,0,1,,0,,0,0,1,1,1,1
45716,14907,0,,1,0,1,0,,1,,1,0
14565,52237,0,,1,1,1,0,1,,,0,0
79943,8867,,1,1,0,,,,1,0,1,
83206,49502,1,1,,1,0,,,0,1,,0
41730,12270,,,,0,0,1,,1,,0,1
73104,28193,0,1,,,,,0,1,,,
36089,93717,,1,0,0,0,0,0,,1,1,1
96599,75689,1,1,,0,1,0,,,,1,1
99627,48570,1,1,,0,,0,0,1,,1,1
89957,38987,,,1,1,1,,0,0,,1,
21672,25691,0,,0,,,,1,1,1,1,0
42736,72447,,,0,0,1,,,0,0,0,
14921,12558,1,1,,,0,,0,,0,0,1
83041,61070,1,0,0,1,0,1,,1,0,,1
48427,90871,,1,0,0,1,1,1,0,1,0,
88464,14947,0,0,,,1,1,,1,,,
80432,75106,1,0,,1,,1,0,1,0,,1
59630,17981,0,1,0,,,0,,,,0,1
18716,72669,1,,0,,,,,,1,1,0
29737,42906,1,1,1,,,1,0,0,0,0,
31619,4617,1,,1,1,0,1,1,0,,0,1
37090,84910,0,0,0,0,,,0,,1,0,1
76407,58365,1,1,,0,,0,0,0,,0,0
87053,34639,0,1,0,,,,,0,0,0,1
73068,30657,,0,0,,1,1,,,1,0,1
23968,33658,0,,,,,1,,0,,,1
36615,14579,0,1,1,1,0,1,,,,1,
42828,46964,0,,1,1,1,1,1,1,0,,0
75766,16459,0,1,1,1,1,,0,,,1,
68978,5455,,,1,,1,0,,0,0,,0
89374,15306,0,0,,1,0,0,,0,,0,1
64394,1356,1,1,,0,,,0,1,0,1,0
91016,4294,1,,0,1,,,,1,,,
34022,32091,0,1,1,1,,,0,1,,,0
46727,25962,1,,0,1,0,,1,1,0,,
39631,68487,1,0,,1,1,,1,0,,1,
48939,6488,1,0,1,0,,1,1,,0,0,0
67475,50004,1,,0,1,,1,0,,1,1,0
75788,8629,0,,,1,,,0,0,,,
96602,45856,1,0,1,,0,1,1,0,0,,
20932,42962,0,0,0,,1,0,1,1,0,0,0
83052,24963,,1,0,,,,0,0,1,,
71217,81168,0,,,,,1,0,1,0,0,
92949,61054,,,0,1,1,,0,1,0,1,
89993,52423,1,0,,,1,1,1,,0,1,1
74911,83926,0,0,0,,1,0,1,1,0,1,1
55036,70831,,1,,1,0,,0,1,1,0,
93027,79213,,1,1,1,,,0,0,0,0,
53048,95879,0,0,1,1,,1,,,0,0,0
31463,1758,,,,1,1,,,,,0,1
35489,41646,,1,0,,0,0,,0,0,0,1
75407,6593,1,,1,1,0,0,,0,1,1,
32749,88489,,1,1,0,0,0,0,1,0,0,0
54005,37672,,0,,,1,,,0,1,0,1
26223,12675,0,1,,1,1,0,,,,1,1
97880,74550,,1,,,,,0,1,,,1
14419,76853,1,0,,0,0,1,1,1,0,,0
6652,63593,,1,,1,0,0,0,1,,0,1
15735,42450,0,,,1,,1,0,,0,1,0
53289,44386,0,0,1,0,,0,0,1,0,,1
28592,44394,1,,,0,0,0,0,,1,,
63074,41255,,,,,0,1,0,1,0,1,0
29999,99870,1,0,0,1,0,,0,,,1,0
49682,64870,0,1,0,0,,0,,0,0,,0
84111,81977,,0,,0,,0,,0,1,0,1
71938,32905,,1,,,0,,0,,,0,
83712,66340,0,,0,1,,0,0,0,0,0,1
98698,32116,1,,0,,0,,,,0,,
44719,65746,,,,,,1,,1,,0,1
41421,34307,1,1,0,0,1,,0,1,1,,
78733,24243,0,0,1,,1,0,0,,0,,
25755,92326,,1,,,,1,0,1,0,1,1
60894,1404,,,,0,0,0,0,,,1,1
63503,79900,1,1,1,,,,1,0,1,0,
35696,12527,1,0,,1,1,1,1,1,0,1,1
77831,74131,0,0,0,0,,,1,1,0,,1
12833,61034,,0,,1,1,,0,0,1,0,1
14374,15099,,1,,,,1,,0,,1,0
85251,3561,0,,,,1,0,0,0,0,1,0
13087,26227,1,1,1,1,1,1,1,,,,0
30291,1754,0,0,,0,1,0,0,,,0,0
68633,12974,0,0,0,0,0,0,0,1,1,0,
63083,69674,1,0,1,0,,0,1,0,,,
6261,54821,0,1,,0,0,,0,0,0,1,
18837,5063,,,1,0,,0,1,,,,0
972,29868,1,,0,1,,,1,0,1,,
25118,73531,,0,0,0,,1,1,1,1,0,1
28476,66868,1,0,,1,0,1,0,1,1,0,
62701,33490,,0,0,0,,1,,1,,,0
11207,26746,1,,1,0,,1,0,0,0,0,0
55610,97319,,0,,,0,1,0,0,1,0,1
78708,2500,1,,0,1,0,0,0,,,,
97711,96730,,,1,,1,0,,,0,,1
66366,34666,1,0,0,1,,0,,0,,,0
80982,54826,,1,,,,,,0,,0,0
37454,44357,1,,1,1,0,0,,0,1,0,0
86084,46587,,0,,0,0,0,,0,0,,1
59453,97536,1,,0,,,1,1,1,1,1,1
8742,36843,,0,0,,,1,,1,,,0
82139,64256,1,0,1,,0,,,,0,1,
47673,89062,0,1,0,0,,0,1,,1,0,0
40519,32625,0,1,0,,0,0,0,0,0,1,
78267,32310,,1,0,1,,,0,,,,1
56064,19854,,1,0,,0,1,1,0,,1,
27948,38061,,1,1,0,,1,0,0,1,0,1
76148,13175,0,1,0,0,1,0,,,,,1
53628,2597,,0,1,0,0,1,1,0,0,,
30272,6720,1,1,1,,0,,,1,0,,
45171,35929,1,1,,0,1,1,,,0,0,1
37007,73016,1,0,0,1,1,,,0,0,,
74049,3060,0,,,0,0,0,,,,,1
23841,17472,1,1,,0,,0,1,0,0,0,
62877,35571,0,1,,0,0,,0,,,,1
33132,17472,1,1,0,1,0,1,1,,0,1,
73267,10042,,1,1,1,1,0,0,1,1,0,0
71021,9686,1,0,,,1,,1,,0,,1
39244,67511,0,,0,,1,,0,,0,1,
20132,22573,,,,1,,1,0,,,1,
3553,2711,,0,1,1,0,0,1,0,,,0
29384,96793,0,,0,,0,1,1,1,,,0
27935,22332,,0,1,,1,0,,1,,0,0
99209,1012,0,,1,1,0,0,1,1,,,1
45549,55503,,1,1,0,,0,1,,1,0,
98830,84401,1,,0,,0,1,0,,1,0,
79004,35408,1,0,1,,0,,,,0,,1
52436,37760,1,,0,1,0,0,1,0,,,0
52718,69442,0,0,,0,,0,0,,,1,
55150,83600,1,1,1,1,0,1,,0,1,1,0
12619,75660,,0,0,,1,,0,0,,1,
56586,7148,1,0,0,,1,1,,0,,0,
35900,80154,1,0,1,0,,,,1,0,0,
1280,93618,1,0,1,1,0,,,,1,1,
57799,67661,0,0,1,0,,,0,0,1,1,0
5744,5769,1,,,,0,1,,0,,0,0
58435,60239,,1,0,0,1,,1,1,1,1,0
26956,73777,,0,,0,1,,0,0,0,,
82257,45026,1,,0,0,1,0,1,1,0,,0
7550,68873,,0,1,0,0,,,,0,0,
84001,11805,1,,0,,,,1,0,0,0,
467,57302,,0,,,0,,0,0,0,,1
36852,5785,1,,1,0,1,1,1,,0,,
3480,20843,,1,1,0,1,,1,,1,,
80763,38243,,0,,1,0,1,1,,1,,1
89282,64570,0,1,,0,1,,0,1,1,1,1
21288,23807,0,1,0,1,1,,,1,1,1,
89029,91633,,,1,0,,1,1,,,1,0
50622,50310,,0,1,1,0,0,0,,1,,1
23714,61847,1,,1,1,0,,0,,0,0,
72839,32940,1,1,0,0,,,1,0,1,0,
7392,52819,,1,1,1,,0,0,,,1,0
21547,3666,0,0,,1,1,1,,0,1,0,1
57862,69162,1,0,0,1,0,0,0,0,,,
56652,88533,1,0,0,1,1,1,,0,0,0,1
68089,97407,0,1,,,0,,1,1,1,,1
54582,81190,0,,,,0,,1,0,1,0,1
39149,70782,0,1,0,,1,0,0,1,0,0,
8651,22590,1,,0,1,0,1,,1,0,1,0
67857,4711,,,0,1,,1,0,1,0,,1
41183,48828,,0,,0,0,0,1,0,1,0,0
76391,89485,,1,1,,1,,0,0,,1,0
98909,90551,0,1,0,1,,0,,1,0,1,
95770,88699,,0,1,,0,,0,1,0,,1
87098,48365,1,,,0,1,1,0,1,0,,
39616,64301,0,,1,1,1,1,1,,1,1,
22288,43880,0,,1,0,1,,,1,0,0,
33371,98853,1,1,,,0,,,1,0,1,
79394,47995,1,0,0,1,1,,0,0,,1,0
39891,77308,0,1,1,1,,,1,,,1,
36588,286,1,,1,0,,,1,1,,,
85335,76368,0,,1,,0,0,1,0,1,1,0
46615,42393,1,0,,1,0,1,1,0,,0,
49429,42019,0,1,0,,,1,0,1,0,,
37369,52304,,0,1,,,1,1,1,1,1,0
4272,51027,0,,,1,,0,1,1,0,0,0
78007,32976,0,,0,1,,,1,1,1,,
26506,65522,1,,1,0,,1,1,,,1,1
93123,49199,,1,0,1,0,,0,,1,1,
95752,66200,,1,,,0,,,,0,0,
4450,15735,1,,0,0,,,,,0,1,0
81113,21300,1,,0,,,1,0,,0,1,0
84129,69765,1,,,,1,1,,0,0,,
20400,35673,0,1,0,,1,1,,,0,,1
92810,29322,0,0,0,,,1,1,1,1,1,0
57753,40725,0,1,1,,,0,,1,,1,0
33292,83184,0,0,,,0,,,1,,0,1
92356,38891,1,0,,0,0,1,,0,,1,1
50175,76611,,,1,,0,,,1,0,,1
34379,99240,0,0,,1,0,0,,0,0,1,0
49274,24280,1,1,1,1,0,0,0,0,,,1
19428,79322,1,,,,0,1,0,,0,1,
76200,47112,,,1,1,1,0,0,,0,1,0
38357,5916,1,0,0,,0,,,1,0,0,0
93385,50009,1,1,0,0,0,1,0,1,1,,1
83226,81173,,0,0,,0,0,0,0,1,,
54445,33749,1,,,,0,0,0,0,,1,
41151,68898,,,0,1,1,0,1,0,0,1,0
21638,5756,,1,1,1,,1,1,1,,,1
83932,46101,,1,,0,1,,1,,0,0,1
91683,5871,,,1,1,0,,1,1,0,1,1
60655,87197,1,0,1,,0,1,0,1,,0,1
63275,78828,0,1,0,0,0,,,,0,0,0
10429,2160,,0,1,1,0,1,0,,,0,1
15229,48367,1,0,,,1,0,0,,,0,0
99082,28265,0,,0,,1,0,,1,0,,1
15288,90243,0,1,,1,1,,0,,0,0,0
68154,18146,,0,1,1,1,1,1,0,0,1,0
60974,76960,,0,1,,,0,0,,,1,1
44286,99897,0,,,,,0,1,0,1,,0
97342,29191,1,1,,,0,1,1,,,1,1
91369,59326,1,,0,1,1,0,0,0,0,,1
99749,78115,0,0,1,0,1,0,,,1,0,0
95630,985,,,0,,0,,0,0,1,1,0
45438,29174,0,,0,0,,,1,0,,1,0
51931,44952,,1,1,1,0,,0,,0,1,0
23142,80236,1,1,1,,,1,,,1,0,
26539,39542,0,,0,,1,1,,1,0,,1
50965,71170,0,,1,,0,0,1,1,1,,0
30843,85488,,,1,0,0,0,,1,1,0,
14241,50189,0,0,1,,0,1,1,,,0,1
85817,19373,1,,0,0,,,1,1,,1,1
918,86168,1,1,,0,,0,1,1,0,0,0
50646,32380,0,0,,0,,,0,0,,1,
54063,77604,1,,,0,0,,1,1,1,1,1
1957,14936,,0,0,1,1,0,1,,,,0
10778,26010,0,,0,,,0,0,,0,1,0
77070,40438,1,1,1,1,1,1,1,1,,1,0
87808,20738,0,0,,0,0,0,,1,,1,1
56560,93277,,,0,,0,0,1,1,0,0,1
85247,75953,,0,,,0,1,0,0,,,1
15014,65181,,,0,1,1,,0,1,,0,
64449,88338,0,0,0,,1,0,1,,0,1,1
68685,66409,0,0,1,0,,,0,1,0,0,
31968,49002,,1,1,0,,0,1,1,1,1,0
74784,65246,0,0,,,,,1,1,0,1,0
22578,83127,0,,0,0,,0,1,,0,1,1
24793,62781,1,1,0,1,0,1,,0,1,0,
49821,74052,,1,,,,,1,,,1,0
4379,3850,0,1,1,,,1,,0,,,0
12292,36597,,,1,0,0,,,,1,,
46258,24599,1,0,,,0,1,1,1,1,0,1
32998,7878,0,1,0,1,1,0,,1,,1,1
45807,80662,,1,0,1,1,,,0,1,0,
10989,65060,1,1,0,,0,0,,1,1,,1
24049,88246,0,,0,0,1,1,0,0,,,1
72064,48407,1,,,,1,1,,1,,1,0
64947,51258,,1,0,,0,,,0,1,0,1
17629,38068,0,0,1,0,,1,,1,1,,1
88717,57356,1,1,,1,,,,1,1,0,
46392,54641,1,1,1,,0,,,0,0,0,0
16198,69080,0,,,1,0,,,,0,0,1
89073,15697,,0,1,,,0,1,0,1,0,0
11531,19688,0,,1,1,,1,0,1,1,1,1
85410,65734,1,1,,0,1,0,1,0,1,,1
92073,81980,,0,,1,1,0,,,1,0,1
26482,71641,0,1,1,1,0,,,,0,0,1
79608,5116,0,1,,,1,1,,1,,0,1
88267,12056,1,1,1,0,1,,,0,0,1,
74555,47451,,,0,1,0,0,,1,,,0
21423,28822,,1,0,,0,,0,1,,1,0
97882,72835,,1,,0,,0,0,1,1,0,1
60903,5017,0,,,1,1,0,1,,1,0,0
39013,33047,0,1,1,,1,0,0,0,1,,1
83630,40923,0,0,1,,1,1,0,0,,,1
50129,62799,,1,0,0,1,0,1,,0,,0
30970,77144,,0,0,,1,1,,0,,1,
64806,41017,1,0,1,,,1,1,0,,,1
39864,21013,1,,0,,0,,1,0,,,0
90297,8296,,0,1,1,,,0,0,,1,1
88446,7855,,1,,,1,0,0,1,,,
67634,94711,0,1,0,0,1,1,0,1,1,0,1
78775,21876,,1,1,,1,0,1,,0,,1
61255,52721,,0,0,,0,1,1,,,1,
99082,47139,0,,1,0,1,,,0,,1,0
65649,47789,1,,0,1,,0,0,0,1,0,0
80221,61664,1,0,0,,,1,0,1,1,1,1
96959,22879,0,1,0,,0,0,0,1,0,1,
76695,24155,0,0,,,1,0,0,0,1,0,1
44194,97217,,0,1,0,0,1,0,,1,1,
18300,56890,0,0,0,0,0,0,,0,1,1,
69161,728,0,,,,,,0,1,1,,
64962,65871,,,1,1,,1,1,,,0,0
43917,31806,1,,,0,0,1,1,,0,0,1
82856,97035,0,1,,0,0,,0,,1,0,0
93930,11257,0,0,0,,,0,,0,,0,1
54979,65584,0,1,,0,,,,1,0,,1
42504,23877,0,1,1,1,0,,0,,,0,
52003,13865,,0,,0,,0,1,0,1,,1
2375,90577,0,,1,,,1,1,,,1,
60764,49056,1,1,1,,0,1,0,,0,0,1
72973,87804,,1,0,,0,1,1,1,,1,0
88878,38667,0,,0,,0,,1,0,1,1,1
99871,94611,1,1,1,0,,,1,1,,1,
52796,16637,1,0,0,0,1,0,1,0,,,1
61224,66342,0,0,0,0,0,1,,0,1,1,0
58999,69782,1,,0,1,,,1,0,1,0,0
19037,26378,1,0,,0,0,1,0,0,1,1,0
89416,67358,1,0,,1,0,0,,,1,0,0
12095,48191,0,0,0,0,,1,,,1,,1
49977,3864,0,0,,,0,0,0,0,,,
4281,33012,0,1,,0,,,1,,,1,0
80969,56472,,,1,1,0,0,,0,,0,0
48710,75912,1,1,0,1,1,1,1,0,1,0,0
25355,24426,,0,,,0,0,0,0,,0,
64216,77506,0,,,0,0,1,,,,0,0
57500,73636,0,1,,,,0,1,0,1,1,0
97366,986,0,0,,0,0,,,1,1,0,
74652,79464,0,1,1,,0,0,1,0,1,1,
51230,87350,0,1,1,0,1,0,1,0,1,1,1
16565,3109,,0,,0,0,0,1,1,1,0,0
20486,19030,0,0,,0,,0,1,1,,,1
32767,44605,1,1,0,0,0,1,1,1,0,0,
27139,30746,1,0,0,,,0,0,,0,,0
61330,30125,1,0,0,,,0,0,0,1,,0
72733,42318,,,,0,0,0,0,,0,,0
52429,67723,0,0,,0,,,0,0,0,,0
18718,55541,0,,0,1,0,1,0,,0,1,1
6657,21103,1,1,1,1,1,,,1,0,0,
55615,71452,,0,1,0,0,1,,0,1,0,1
6898,96735,,1,0,1,1,1,0,1,1,,
64944,32479,0,,,,,,1,0,0,0,0
53572,90605,0,0,0,1,0,,1,,1,1,0
7536,68208,1,1,0,1,1,1,1,0,1,1,1
11841,18239,1,,0,0,,,1,,1,1,
98654,63980,,,,,,,,,,0,1
36471,88801,1,,,1,,1,0,,1,0,
47798,124,0,,,,1,1,1,0,,,1
97296,68410,1,1,0,0,1,0,,1,0,1,
43838,15300,,1,,1,1,,,0,,0,
74396,54137,1,0,,1,,0,0,1,0,,0
30915,47866,,1,0,1,0,,0,1,1,0,1
62488,82081,0,,0,1,1,0,,0,,,0
87162,19066,,,,,1,,,1,0,,
68690,14378,1,1,1,,1,,0,1,1,,0
29095,85164,1,0,0,0,1,1,,0,0,1,0
3771,64195,0,,0,0,0,1,,1,0,1,0
83202,67368,1,0,,1,1,0,1,1,0,,
77993,92175,1,0,0,,,1,1,,0,0,0
99543,82283,1,1,,1,,1,1,0,1,1,0
23023,6837,1,0,0,0,,0,1,0,1,,
79220,67703,,,1,,0,0,,1,,,0
91672,90120,,,1,,1,1,1,,,0,0
24505,51099,0,,0,1,0,0,0,0,0,1,1
96933,50703,0,,,1,0,0,0,,0,1,1
16678,70458,1,1,0,0,0,1,,1,0,1,
68146,33717,1,,,1,,0,0,,,,0
71021,19697,1,0,0,,0,0,0,0,,0,1
70062,54070,0,0,,,,1,0,1,1,,
53248,56119,,1,0,0,1,0,,1,1,1,
5031,39259,,,0,,,1,1,0,1,0,1
66226,27110,0,1,1,0,0,,1,0,0,0,1
27209,84057,1,1,0,,,0,,,,0,
95431,67459,,0,,1,1,,1,,,0,1
8139,96943,,0,1,,,1,0,,0,,
28748,13813,1,0,0,0,0,0,1,,0,1,1
44336,46236,0,0,,0,0,0,1,1,,,
97720,10562,1,,,,0,0,,1,0,,1
42629,92860,,1,,,0,1,0,0,1,0,
62948,80395,1,,1,,1,,1,,1,,1
12299,88340,0,0,,1,0,1,,0,0,,
1778,43289,1,0,1,1,1,1,,,1,1,0
1289,79037,1,0,,0,1,1,0,,,1,0
69013,10434,1,0,1,,1,0,1,1,,1,0
44159,68395,,0,0,,1,1,,0,1,0,1
64270,74806,1,,0,,,0,0,,1,0,1
46060,44379,0,,0,0,1,0,0,,1,1,0
7357,97040,,,0,1,1,1,1,0,,1,0
53280,34354,,,1,0,,1,0,0,1,1,0
51961,87043,1,0,1,0,,,,0,1,,0
67131,30045,,,1,1,,,,0,1,0,
29959,66292,0,1,,,,0,,0,1,,0
1183,36120,0,,,1,,0,0,,,0,
96697,6158,,0,1,0,1,1,,,1,0,
31877,52622,,1,,,0,0,,,,0,
11706,22947,0,1,1,1,0,,1,,1,,
62317,92355,0,0,0,1,0,1,1,1,0,1,0
78009,40408,,1,1,,0,1,,1,1,1,1
22597,48868,0,,0,0,1,1,,,,,1
35659,97678,0,0,0,1,0,1,0,0,,,1
53509,51927,1,0,,,,,,1,0,,
98155,51385,0,1,0,,,0,1,1,0,,0
58881,64054,,0,0,,0,1,0,,0,0,
3525,32250,1,0,1,1,0,,1,1,1,0,
702,64237,0,0,0,,,,1,1,0,1,0
5744,97267,0,1,,,0,1,,1,,1,1
5038,41689,0,,,0,1,0,0,1,1,1,
21671,17052,,,1,,1,0,0,0,0,1,
86015,41613,0,1,0,0,0,1,0,,0,0,
57307,29003,1,,0,0,1,0,,0,,1,1
60167,1839,0,1,,,0,1,0,,,1,1
86524,94642,1,0,1,,0,1,1,1,0,1,1
11110,42975,,1,,1,,1,1,,,0,0
39427,44378,1,0,0,,0,0,1,1,1,0,1
22206,13421,,1,,0,1,,,,,0,0
51654,14155,,0,1,0,,1,,1,0,0,0
83115,25449,,,,1,0,0,1,0,,,1
94579,51887,,0,0,,0,1,1,0,1,1,1
32662,47603,1,0,,0,0,1,1,,0,0,0
70308,90218,,,1,0,,0,1,,1,1,
97402,65112,,0,1,1,1,,,1,1,0,1
18966,52981,,,,,,,1,,1,1,
26551,80464,0,0,,,,0,0,,,,1
74768,64996,,1,,,0,1,,0,0,,0
97392,73107,0,1,0,0,,,0,1,1,,
63432,10477,1,0,0,,,1,1,,,1,0
98428,31262,1,,1,1,0,1,,1,,0,
26117,44958,0,,1,,1,0,,,1,0,0
96339,44282,1,,,1,0,1,1,0,1,1,0
35731,92882,,0,1,0,0,,0,1,1,1,0
98214,83189,1,1,0,1,1,0,0,1,1,0,1
19102,86990,0,1,0,,0,0,1,0,,0,0
68000,86919,1,1,0,1,1,0,0,,,,
87479,37710,1,0,1,0,,1,,1,,0,
85064,37090,0,0,,0,,1,0,0,,0,
9560,63887,1,0,0,1,1,0,,1,0,0,1
73344,17077,1,1,1,0,0,,1,1,,,
27551,11058,,0,1,1,,1,,1,1,0,1
11136,86406,1,1,,1,0,1,0,0,1,0,
87919,35902,,0,0,,0,0,1,,0,,1
22858,18750,,1,0,0,1,1,,1,0,1,
4712,59687,,0,0,,1,0,0,0,1,1,1
93511,62842,,,1,1,0,,1,,0,0,
90484,80480,1,0,,,0,1,1,1,0,0,
4358,68877,1,0,,,0,0,,0,,1,0
87759,94557,1,,0,,,0,1,,,0,0
77194,30523,1,,,,,,,1,,0,1
40575,58977,1,0,0,,1,1,,1,,1,
45195,35444,,,,1,,0,1,1,,1,
42006,16789,0,,0,1,0,,0,0,,1,1
9549,1881,0,0,1,1,0,1,,0,1,1,1
47955,22,,1,1,1,1,0,0,0,0,1,0
97492,4104,,1,,1,0,0,1,0,1,0,0
80770,14933,,,1,,,0,,0,1,0,0
65122,90099,0,1,0,0,1,,,0,0,1,
44814,23352,,1,1,1,1,1,1,1,,,0
86400,95366,0,0,,0,1,0,0,1,1,,1
68674,48060,1,0,1,,,1,0,1,,0,0
39659,92849,,0,,1,0,0,1,,,1,
89199,82750,1,,0,1,,1,,0,0,,1
46647,91730,1,,,1,0,,,0,0,1,
30529,24055,1,1,,,1,0,1,,0,,1
1525,34632,1,1,0,0,0,,0,1,1,1,1
14788,24232,,,,1,0,1,,1,,1,1
66760,38360,1,,0,1,1,0,0,,1,0,0
68329,43625,,,,1,0,0,1,1,,1,
83289,1797,,,1,0,0,0,,1,1,0,
32547,81875,0,,1,1,1,1,0,0,0,0,0
